Institution_ID,Institution,Abbrev,Type,Public,Flagship,URL,Location_ID,Land_Grant,Sea_Grant,Space_Grant,Sun_Grant
239,Nanjing Medical University,NANMEDUNI,Medical,Yes,No,http://english.njmu.edu.cn/,CN-32-NJI,No,No,No,No
240,China Pharmaceutical University,CHIPHARM,Medical,Yes,No,http://en.cpu.edu.cn/,CN-32-NJI,No,No,No,No
241,Lehigh University,LEHIGH,National University,No,No,http://www1.lehigh.edu/,US-PA-BEX,No,No,No,No
242,University of Louisiana at Monroe,ULASYS-ULM,Regional University,Yes,No,http://www.ulm.edu/,US-LA-MLU,No,No,No,No
243,University of Washington,UWBT-UWASH,National University,Yes,No,http://www.washington.edu/,US-WA-SEA,No,No,No,No
245,Boston University,BOSTONU,National University,No,No,http://www.bu.edu/,US-MA-BOS,No,No,No,No
246,University of Miami,UMIAMI,National University,No,No,http://welcome.miami.edu/,US-FL-CGB,No,No,No,No
247,Southern University and A&M College,SUS-SUAMC,Regional University,Yes,Yes,http://www.subr.edu/,US-LA-BTR,Yes,No,No,No
248,Dartmouth College,DARTMOUTH,National University,No,No,http://dartmouth.edu/,US-NH-ZHV,No,No,No,No
249,Trinity College,TRINITYCOL,National Liberal Arts College,No,No,http://www.trincoll.edu/,US-CT-HFD,No,No,No,No
250,Fairfield University,FAIRFIELD,Regional University,No,No,https://www.fairfield.edu/,US-CT-FFI,No,No,No,No
251,Middlebury College,MIDDLEBURY,National Liberal Arts College,No,No,http://www.middlebury.edu/,US-VT-MBU,No,No,No,No
252,Northeastern University,NORTHEASTERN,National University,No,No,http://www.northeastern.edu/,US-MA-BOS,No,No,No,No
253,Pine Manor College,PINEMAJCOL,National Liberal Arts College,No,No,http://www.pmc.edu/,US-MA-ENH,No,No,No,No
254,Simmons College,SIMMONSCOL,Regional University,No,No,http://www.simmons.edu/,US-MA-BOS,No,No,No,No
255,Smith College,SMITHCOL,National Liberal Arts College,No,No,http://www.smith.edu/,US-MA-NHM,No,No,No,No
256,Wheaton College,WHEATONCOL,National Liberal Arts College,No,No,http://wheatoncollege.edu/,US-MA-NNM,No,No,No,No
257,Boston College,BOSTONCOL,National University,No,No,http://www.bc.edu/,US-MA-ENH,No,No,No,No
258,Mount Holyoke College,MTHOLYOKE,National Liberal Arts College,No,No,https://www.mtholyoke.edu/,US-MA-SYM,No,No,No,No
259,College of William and Mary,CWMBV-COLWILMARY,National University,Yes,No,http://www.wm.edu/,US-VA-WLG,No,No,No,No
260,Harvard University,HARVARD,National University,No,No,http://www.harvard.edu/,US-MA-JHY,No,No,No,No
261,Bryant University,BRYANTU,Regional University,No,No,http://www.bryant.edu/,US-RI-SFZ,No,No,No,No
262,Roger Williams University,ROGERWILLIAMS,Regional University,No,No,http://rwu.edu/,US-RI-BSE,No,No,No,No
263,Providence College,PROVCOL,Regional University,No,No,http://www.providence.edu/,US-RI-PVD,No,No,No,No
